Case 1: wavelength 355nm
Number of data points: 1005 
(Pressure,  temperature, dewpoint, particle extinction coefficient (1/m),lidar ratio (sr), depolarization ratio, altitude (m))



   874.97   -7.51  -16.14 .1100E-02   28.00   .00   1162.50


   873.28   -7.61  -16.23 .1100E-02   28.00   .00   1177.50


   871.60   -7.70  -16.32 .1100E-02   28.00   .00   1192.50


   869.92   -7.80  -16.41 .1100E-02   28.00   .00   1207.50


   868.24   -7.90  -16.50 .1100E-02   28.00   .00   1222.50


   866.56   -7.99  -16.59 .1100E-02   28.00   .00   1237.50


   864.89   -8.09  -16.69 .1100E-02   28.00   .00   1252.50


   863.22   -8.19  -16.78 .1100E-02   28.00   .00   1267.50


   861.55   -8.29  -16.87 .1100E-02   28.00   .00   1282.50


   859.89   -8.39  -16.96 .1100E-02   28.00   .00   1297.50


   858.22   -8.48  -17.05 .1100E-02   28.00   .00   1312.50


   856.56   -8.58  -17.14 .1100E-02   28.00   .00   1327.50


   854.90   -8.68  -17.23 .1100E-02   28.00   .00   1342.50


   853.25   -8.77  -17.32 .1100E-02   28.00   .00   1357.50


   851.60   -8.87  -17.41 .1100E-02   28.00   .00   1372.50


   849.95   -8.97  -17.50 .1100E-02   28.00   .00   1387.50


   848.30   -9.07  -17.59 .1100E-02   28.00   .00   1402.50


   846.65   -9.17  -17.68 .1100E-02   28.00   .00   1417.50


   845.01   -9.26  -17.77 .1100E-02   28.00   .00   1432.50


   843.37   -9.36  -17.86 .1100E-02   28.00   .00   1447.50


   841.74   -9.46  -17.95 .1100E-02   28.00   .00   1462.50


   840.10   -9.55  -18.04 .1100E-02   28.00   .00   1477.50


   838.47   -9.65  -18.13 .1100E-02   28.00   .00   1492.50


   836.84   -9.75  -18.23 .1010E-02   28.00   .00   1507.50


   835.21   -9.85  -18.32 .1010E-02   28.00   .00   1522.50


   833.59   -9.95  -18.41 .1010E-02   28.00   .00   1537.50


   831.97  -10.04  -18.50 .1010E-02   28.00   .00   1552.50


   830.35  -10.14  -18.59 .1010E-02   28.00   .00   1567.50


   828.73  -10.24  -18.68 .1010E-02   28.00   .00   1582.50


   827.12  -10.33  -18.77 .1010E-02   28.00   .00   1597.50


   825.51  -10.43  -18.86 .1010E-02   28.00   .00   1612.50


   823.90  -10.53  -18.95 .1010E-02   28.00   .00   1627.50


   822.29  -10.63  -19.04 .1010E-02   28.00   .00   1642.50


   820.69  -10.73  -19.13 .1010E-02   28.00   .00   1657.50


   819.08  -10.82  -19.22 .1010E-02   28.00   .00   1672.50


   817.49  -10.92  -19.31 .1010E-02   28.00   .00   1687.50


   815.89  -11.02  -19.40 .1010E-02   28.00   .00   1702.50


   814.30  -11.11  -19.49 .1010E-02   28.00   .00   1717.50


   812.70  -11.21  -19.58 .1010E-02   28.00   .00   1732.50


   811.12  -11.31  -19.68 .1010E-02   28.00   .00   1747.50


   809.53  -11.41  -19.77 .8400E-03   28.00   .00   1762.50


   807.95  -11.51  -19.86 .8400E-03   28.00   .00   1777.50


   806.37  -11.60  -19.95 .8400E-03   28.00   .00   1792.50


   804.79  -11.70  -20.04 .8400E-03   28.00   .00   1807.50


   803.21  -11.80  -20.13 .8400E-03   28.00   .00   1822.50


   801.64  -11.89  -20.22 .8400E-03   28.00   .00   1837.50


   800.07  -11.99  -20.31 .8400E-03   28.00   .00   1852.50


