Altitude(m)	beta_aerosol(m^-1 sr^-1)	beta_molecular(m^-1 sr^-1)
926.46104	8.66669994945e-07	1.37814125741e-06
933.9325	8.4850990519e-07	1.37713187325e-06
941.40396	8.46988349583e-07	1.37612305478e-06
948.87542	8.56434580661e-07	1.37511480179e-06
956.34688	8.36693579017e-07	1.37410711405e-06
963.81834	8.53457316871e-07	1.37309999134e-06
971.2898	8.47923502843e-07	1.37209343344e-06
978.76126	8.49694855207e-07	1.37108744014e-06
986.23272	8.47826621852e-07	1.37008201121e-06
993.70418	8.44295008429e-07	1.36907714644e-06
1001.17564	8.51298745955e-07	1.36807284561e-06
1008.6471	8.45112321896e-07	1.36706910849e-06
1016.11856	8.67083767346e-07	1.36606593486e-06
1023.59002	8.33565768522e-07	1.36506332452e-06
1031.06148	8.53672932869e-07	1.36406127723e-06
1038.53294	8.63550714579e-07	1.36305979278e-06
1046.0044	8.49350486673e-07	1.36205887095e-06
1053.47586	8.49369672632e-07	1.36105851153e-06
1060.94732	8.45720410619e-07	1.36005871428e-06
1068.41878	8.62558656038e-07	1.359059479e-06
1075.89024	8.38364679107e-07	1.35806080546e-06
1083.3617	8.58901846669e-07	1.35706269345e-06
1090.83316	8.30593532696e-07	1.35606514275e-06
1098.30462	8.67872315999e-07	1.35506815313e-06
1105.77608	8.51647942578e-07	1.35407172438e-06
1113.24754	8.77773283862e-07	1.35307585629e-06
1120.719	8.34062412994e-07	1.35208054862e-06
1128.19046	8.25651715271e-07	1.35108580117e-06
1135.66192	8.39482066458e-07	1.35009161372e-06
1143.13338	8.47248575176e-07	1.34909798604e-06
1150.60484	8.57324108551e-07	1.34810491792e-06
1158.0763	8.36012969707e-07	1.34711240913e-06
1165.54776	8.33148645433e-07	1.34612045947e-06
1173.01922	8.51351564526e-07	1.34512906872e-06
1180.49068	8.37326580371e-07	1.34413823664e-06
1187.96214	8.5185008509e-07	1.34314796304e-06
1195.4336	8.3564073992e-07	1.34215824768e-06
1202.90506	8.39746692405e-07	1.34116909035e-06
1210.37652	8.28511265616e-07	1.34018049084e-06
1217.84798	8.28685898447e-07	1.33919244892e-06
1225.31944	8.14381221301e-07	1.33820496438e-06
1232.7909	8.46149711567e-07	1.33721803699e-06
1240.26236	8.49574749538e-07	1.33623166655e-06
1247.73382	8.35161346368e-07	1.33524585282e-06
1255.20528	8.57856474754e-07	1.33426059561e-06
1262.67674	8.50069784934e-07	1.33327589468e-06
1270.1482	8.39742260402e-07	1.33229174982e-06
1277.61966	8.51432110422e-07	1.33130816081e-06
1285.09112	8.22790261172e-07	1.33032512744e-06
1292.56258	8.36638508761e-07	1.32934264948e-06
1300.03404	8.3373311773e-07	1.32836072673e-06
1307.5055	8.24523958675e-07	1.32737935895e-06
1314.97696	8.02866114907e-07	1.32639854594e-06
