Altitude(m)	Range Corrected Signal(m^-1 sr^-1)
0.0	0.0
7.47146	-3.07024929924
14.94292	1375012.82335
22.41438	3130956.7804
29.88584	5441102.50684
37.3573	8551963.11001
44.82876	12322865.3493
52.30022	17147526.8303
59.77168	23993745.9549
67.24314	34007004.8252
74.7146	54549649.6153
82.18606	96940907.9737
89.65752	169024485.342
97.12898	275218693.752
104.60044	416554746.21
112.0719	614917212.252
119.54336	871683852.297
127.01482	1197647150.86
134.48628	1589120296.75
141.95774	2045245518.15
149.4292	2572331786.6
156.90066	3147214238.61
164.37212	3783167069.12
171.84358	4500137520.35
179.31504	5259955583.13
186.7865	6039248231.09
194.25796	6878129164.46
201.72942	7761098704.17
209.20088	8634921239.38
216.67234	9587165304.14
224.1438	10518688082.8
231.61526	11426033144.4
239.08672	12399563285.0
246.55818	13331266575.9
254.02964	14329698658.9
261.5011	15360556755.1
268.97256	16346628504.5
276.44402	17348317824.5
283.91548	18299220637.4
291.38694	19350831473.0
298.8584	20434949208.9
306.32986	21399559215.2
313.80132	22559762182.3
321.27278	23663236928.4
328.74424	24789403043.6
336.2157	25875191020.2
343.68716	27106251241.5
351.15862	28253818148.2
358.63008	29258483588.6
366.10154	30459325058.1
373.573	31682173956.8
381.04446	32958503912.6
388.51592	33898832589.4
395.98738	34952990752.8
403.45884	36072476446.5
410.9303	37155242008.3
418.40176	37941801634.4
425.87322	38867152320.4
433.34468	39664301224.0
440.81614	40481079118.4
448.2876	41238148473.0
455.75906	41844649111.5
463.23052	42504278119.2
470.70198	42851089635.2
478.17344	43477068307.6
485.6449	43824634813.6
493.11636	44090679942.4
500.58782	44512212649.3
508.05928	44653154820.1
515.53074	44812324384.9
523.0022	45250541645.4
530.47366	45046865339.8
537.94512	45468147762.8
545.41658	45348017338.3
552.88804	45675769181.6
560.3595	45593184823.5
567.83096	45518030016.1
575.30242	45583882876.9
582.77388	45577030107.0
590.24534	45597206633.5
597.7168	45467358045.5
605.18826	45531432928.4
612.65972	45275680158.9
620.13118	45332996740.9
627.60264	45441711523.0
635.0741	45279807938.6
642.54556	45397351740.5
650.01702	45189985734.3
657.48848	45198604614.9
664.95994	45102817819.8
672.4314	44824799888.2
679.90286	44937037040.6
687.37432	45116001757.0
694.84578	44822183690.0
702.31724	44808730958.1
709.7887	44736908370.9
717.26016	44578115886.3
724.73162	44428627199.9
732.20308	44383848745.7
739.67454	44515713450.3
747.146	44076468237.4
754.61746	43600286802.8
762.08892	43680976685.3
769.56038	43621350084.0
777.03184	43436394448.8
784.5033	43494109972.3
791.97476	43449655073.2
799.44622	43022580285.5
806.91768	43065436956.3
814.38914	43039589815.0
821.8606	42832580988.8
829.33206	42603153531.0
836.80352	42601170581.7
844.27498	42357402367.9
851.74644	42145530353.9
859.2179	42239980344.1
866.68936	41956969190.1
874.16082	41968996371.8
881.63228	42045119634.7
889.10374	41831924480.0
896.5752	41549204137.8
904.04666	41772176624.8
911.51812	41878888031.2
918.98958	41591105946.0
926.46104	41313095174.2
933.9325	41297421791.8
941.40396	40981526810.9
948.87542	41224942711.4
956.34688	40990463584.3
963.81834	40998042515.1
971.2898	40680466631.8
978.76126	40640061517.2
986.23272	40863127439.7
993.70418	40744024957.0
1001.17564	40617279445.4
1008.6471	40359988546.3
1016.11856	40478985274.0
1023.59002	40250836610.8
1031.06148	40052836561.4
1038.53294	40141439421.4
1046.0044	40093063828.5
1053.47586	39927623252.2
1060.94732	40079505439.0
1068.41878	39704240273.2
1075.89024	39707024387.2
1083.3617	39557395849.3
1090.83316	39304082418.6
1098.30462	39314784519.7
1105.77608	39249910474.4
1113.24754	39554071680.3
1120.719	39068155468.3
1128.19046	39156771093.8
1135.66192	38894256256.6
1143.13338	38895458690.4
1150.60484	39056050263.5
1158.0763	38835337968.5
1165.54776	38471331550.2
1173.01922	38397857290.6
1180.49068	38434259767.0
1187.96214	38129184197.8
1195.4336	37874338124.3
1202.90506	38307284380.3
1210.37652	38378820978.8
1217.84798	38235620874.2
1225.31944	37996042846.7
1232.7909	37933460554.4
1240.26236	37648601808.2
1247.73382	37796868260.1
1255.20528	37938923647.4
1262.67674	37382696544.3
1270.1482	37560213577.8
1277.61966	37652451025.8
1285.09112	37035532890.7
1292.56258	37442369728.8
1300.03404	36752571678.3
1307.5055	37032625015.5
1314.97696	36314086572.3
1322.44842	36581013911.6
1329.91988	36503831387.5
1337.39134	36249773916.5
1344.8628	36704764389.9
1352.33426	36133486906.9
1359.80572	36256494158.3
1367.27718	36269036234.1
1374.74864	36226147576.4
1382.2201	36082209918.6
1389.69156	36226143071.5
1397.16302	36154079323.5
1404.63448	35697344704.5
1412.10594	35790971469.2
1419.5774	35624594668.4
1427.04886	35778602171.7
1434.52032	35781757379.5
1441.99178	35165688681.4
1449.46324	35295738341.2
1456.9347	34966440349.4
1464.40616	34691222392.5
1471.87762	34391857532.8
1479.34908	34949804630.9
1486.82054	34972129148.4
1494.292	34860045960.7
1501.76346	34562248689.9
1509.23492	34690617087.8
1516.70638	34922219207.1
1524.17784	34523730133.5
1531.6493	34797341066.1
1539.12076	34379609667.2
1546.59222	34080336351.1
1554.06368	34526335790.4
1561.53514	34086147564.9
1569.0066	34024149627.6
1576.47806	34219725950.7
1583.94952	34243784632.7
1591.42098	33944576424.9
1598.89244	34333077370.7
1606.3639	34554061154.5
1613.83536	34326699776.3
1621.30682	34432355829.2
1628.77828	34763700543.0
1636.24974	33634938625.7
1643.7212	34242710264.3
1651.19266	33851294326.6
1658.66412	34438952973.0
1666.13558	34114206816.7
1673.60704	34244389317.7
1681.0785	33937577870.9
1688.54996	33863557073.9
1696.02142	33715165343.0
1703.49288	33861971377.3
1710.96434	33691273770.5
1718.4358	33525491794.1
1725.90726	33460200857.5
1733.37872	33447061839.2
1740.85018	33890578521.4
1748.32164	33314026527.0
1755.7931	34006301047.3
1763.26456	33459983739.2
1770.73602	33430593079.2
1778.20748	32638215541.2
1785.67894	32957703548.9
1793.1504	33182630998.1
1800.62186	32224435919.9
1808.09332	32570874278.4
1815.56478	32481317189.9
1823.03624	32254007499.1
1830.5077	32575889259.6
1837.97916	32477515513.2
1845.45062	32571812631.7
1852.92208	32836085890.6
1860.39354	32031958106.1
1867.865	32150202760.0
1875.33646	31795980475.4
1882.80792	31890316136.8
1890.27938	31172017593.4
1897.75084	31739453483.4
1905.2223	31576056993.1
1912.69376	30876673009.1
1920.16522	30285098366.9
1927.63668	30067913044.2
1935.10814	30140429684.7
1942.5796	30313245781.4
1950.05106	29904216861.8
1957.52252	29712298549.9
1964.99398	29646091533.5
1972.46544	29494575568.7
1979.9369	29134340142.9
1987.40836	28896460955.9
1994.87982	28397817786.2
2002.35128	28647018566.1
2009.82274	27419139818.6
2017.2942	27497224763.2
2024.76566	28045657882.7
2032.23712	27910229807.7
2039.70858	27183897248.1
2047.18004	27060708570.1
2054.6515	26477597769.0
2062.12296	26951167406.2
2069.59442	27039738995.4
2077.06588	26277571181.0
2084.53734	26071536539.8
2092.0088	26136222185.2
2099.48026	26080812901.8
2106.95172	25956024574.7
2114.42318	25782773417.0
2121.89464	25722174165.8
2129.3661	25912703549.4
2136.83756	25875694518.5
2144.30902	25505192434.7
2151.78048	25493402084.2
2159.25194	25204510061.5
2166.7234	25074082642.2
2174.19486	25705836455.2
2181.66632	24973715856.5
2189.13778	25351131545.0
2196.60924	24429176191.9
2204.0807	25392351055.3
2211.55216	25574576296.1
2219.02362	24954894783.1
2226.49508	25083565876.4
2233.96654	25566602625.6
2241.438	25617325603.3
2248.90946	24756643284.0
2256.38092	24799222385.2
2263.85238	25122603411.0
2271.32384	25242272608.1
2278.7953	24479082793.0
2286.26676	24639864513.9
2293.73822	24811694995.3
2301.20968	24136898532.3
2308.68114	24256576016.3
2316.1526	24885912086.7
2323.62406	24695775446.5
2331.09552	24697259869.3
2338.56698	24549571199.8
2346.03844	24987386769.0
2353.5099	24476575460.0
2360.98136	24041360269.7
2368.45282	24401315582.2
2375.92428	24589380022.9
2383.39574	24755634522.9
2390.8672	24253717248.8
2398.33866	24675885165.8
2405.81012	24835656397.3
2413.28158	23854488707.9
2420.75304	24336445748.1
2428.2245	24080059629.2
2435.69596	24293731351.3
2443.16742	23965475875.5
2450.63888	24376525595.3
2458.11034	24271612657.1
2465.5818	23817554423.6
2473.05326	24280153554.8
2480.52472	24457848058.8
2487.99618	23528324636.6
2495.46764	23875350913.2
2502.9391	23774207646.2
2510.41056	23739894545.3
2517.88202	23558087499.3
2525.35348	24036108282.3
2532.82494	23241924650.0
2540.2964	23224372852.9
2547.76786	23705217130.3
2555.23932	24001156474.9
2562.71078	23892154827.8
2570.18224	22987948557.9
2577.6537	23673270465.1
2585.12516	24031240488.0
2592.59662	24210679471.3
2600.06808	23336370259.8
2607.53954	23695055688.1
2615.011	23441256407.7
2622.48246	23403462445.2
2629.95392	23059756093.3
2637.42538	23107491393.0
2644.89684	23294561298.5
2652.3683	24101720405.5
2659.83976	23247231334.5
2667.31122	22296605718.2
2674.78268	22586244254.7
2682.25414	23676661913.9
2689.7256	22267774162.2
2697.19706	22588077381.4
2704.66852	22749968569.8
2712.13998	22787564170.2
2719.61144	23357065606.7
2727.0829	23173224209.1
2734.55436	22761974017.2
2742.02582	23112087478.1
2749.49728	22595633004.5
2756.96874	21684882986.7
2764.4402	23392138447.8
2771.91166	23365083424.6
2779.38312	21907591543.3
2786.85458	21443040719.9
2794.32604	22229681122.5
2801.7975	22945320608.4
2809.26896	21860384028.7
2816.74042	22436990835.4
2824.21188	21511299198.7
2831.68334	22723791131.1
2839.1548	22602039795.3
2846.62626	21878413192.7
2854.09772	22286662680.9
2861.56918	21936750550.8
2869.04064	21886824435.1
2876.5121	22604992237.8
2883.98356	21608046876.1
2891.45502	22046210665.7
2898.92648	21773718134.5
2906.39794	21734049746.8
2913.8694	20903476090.3
2921.34086	22820068109.1
2928.81232	22113461672.9
2936.28378	22450595188.2
2943.75524	22383013347.1
2951.2267	22035160722.4
2958.69816	22847183969.0
2966.16962	21273472336.0
2973.64108	22247347502.3
2981.11254	22145994897.8
2988.584	21265730088.1
2996.05546	22027465076.6
3003.52692	22038231817.7
3010.99838	21676573349.2
3018.46984	21647615462.0
3025.9413	21049877809.0
3033.41276	21172359342.2
3040.88422	21526453498.5
3048.35568	21632364549.0
3055.82714	21336998085.0
3063.2986	21422695439.1
3070.77006	21357590515.0
3078.24152	20457236320.5
3085.71298	21642129014.9
3093.18444	21957551775.3
3100.6559	21208103050.8
3108.12736	22382744499.4
3115.59882	20587919808.7
3123.07028	21603616615.8
3130.54174	21187691392.6
3138.0132	21416959292.4
3145.48466	20687964029.4
3152.95612	21601533714.0
3160.42758	21254558338.7
3167.89904	20411826565.3
3175.3705	20256147861.1
3182.84196	20138842912.8
3190.31342	20854366526.4
3197.78488	20420416372.5
3205.25634	20978265423.1
3212.7278	20725245104.0
3220.19926	20811383998.5
3227.67072	19199539821.8
3235.14218	20659594443.6
3242.61364	19819335666.6
3250.0851	19794580648.7
3257.55656	20288938463.8
3265.02802	21448154516.0
3272.49948	21096639098.9
3279.97094	19633140393.7
3287.4424	20414352860.2
3294.91386	20333547501.7
3302.38532	20524019428.7
3309.85678	20452666071.6
3317.32824	19543682717.1
3324.7997	19499164945.5
3332.27116	20219829881.8
3339.74262	20165602964.8
3347.21408	20065464985.0
3354.68554	20605299532.0
3362.157	20109371627.7
3369.62846	19517582160.8
3377.09992	19535801764.5
3384.57138	19049572815.2
3392.04284	20572014048.1
3399.5143	19645750090.7
3406.98576	20184894458.5
3414.45722	19970400299.2
3421.92868	19156254849.9
3429.40014	19475213647.1
3436.8716	19784595046.7
3444.34306	18838584102.1
3451.81452	18646356420.7
3459.28598	19863996589.5
3466.75744	20142189367.3
3474.2289	18708249132.2
3481.70036	19261568500.5
3489.17182	19076489835.9
3496.64328	18656988253.0
3504.11474	19375302800.2
3511.5862	18508509479.6
