Altitude(m)	beta_aerosol(m^-1 sr^-1)	beta_molecular(m^-1 sr^-1)
0.0	-9.13700780843e-08	9.13700780843e-08
7.47146	-9.13045696116e-08	9.13045546186e-08
14.94292	-9.12105708479e-08	9.12390671069e-08
22.41438	-9.11368476176e-08	9.11736155358e-08
29.88584	-9.10582133105e-08	9.11081998914e-08
37.3573	-9.0980381789e-08	9.10428201601e-08
44.82876	-9.08924041528e-08	9.09774763283e-08
52.30022	-9.08005384751e-08	9.09121683823e-08
59.77168	-9.06901075088e-08	9.08468963085e-08
67.24314	-9.0570084501e-08	9.07816600931e-08
74.7146	-9.03307625363e-08	9.07164597226e-08
82.18606	-8.98933075717e-08	9.06512951833e-08
89.65752	-8.90148707331e-08	9.05861664615e-08
97.12898	-8.76761486815e-08	9.05210735436e-08
104.60044	-8.57216186462e-08	9.0456016416e-08
112.0719	-8.28654448302e-08	9.0390995065e-08
119.54336	-7.9467144878e-08	9.03260094769e-08
127.01482	-7.49302632129e-08	9.02610596383e-08
134.48628	-6.96235199689e-08	9.01961455353e-08
141.95774	-6.35754516951e-08	9.01312671545e-08
149.4292	-5.57395884924e-08	9.00664244821e-08
156.90066	-4.74820984681e-08	9.00016175046e-08
164.37212	-3.94755989252e-08	8.99368462084e-08
171.84358	-2.96383487302e-08	8.98721105798e-08
179.31504	-1.87624339886e-08	8.98074106051e-08
186.7865	-8.13289619944e-09	8.97427462709e-08
194.25796	2.3549474656e-09	8.96781175635e-08
201.72942	1.63735543867e-08	8.96135244693e-08
209.20088	2.8056107778e-08	8.95489669747e-08
216.67234	4.13155950422e-08	8.94844450661e-08
224.1438	5.50529345466e-08	8.94199587299e-08
231.61526	6.86986799545e-08	8.93555079525e-08
239.08672	8.07681796676e-08	8.92910927204e-08
246.55818	9.68423860929e-08	8.92267130199e-08
254.02964	1.10576069173e-07	8.91623688375e-08
261.5011	1.24917463295e-07	8.90980601595e-08
268.97256	1.39954768768e-07	8.90337869725e-08
276.44402	1.51861122284e-07	8.89695492627e-08
283.91548	1.6939767577e-07	8.89053470168e-08
291.38694	1.82454102579e-07	8.8841180221e-08
298.8584	1.96356081087e-07	8.87770488619e-08
306.32986	2.12383866013e-07	8.87129529258e-08
313.80132	2.27116467445e-07	8.86488923992e-08
321.27278	2.44800072167e-07	8.85848672686e-08
328.74424	2.57117496027e-07	8.85208775204e-08
336.2157	2.75009484925e-07	8.8456923141e-08
343.68716	2.94334935558e-07	8.8393004117e-08
351.15862	3.14422399917e-07	8.83291204347e-08
358.63008	3.28618444169e-07	8.82652720806e-08
366.10154	3.46295124728e-07	8.82014590411e-08
373.573	3.68187438116e-07	8.81376813028e-08
381.04446	3.82439658287e-07	8.80739388521e-08
388.51592	4.04481956272e-07	8.80102316755e-08
395.98738	4.17383097157e-07	8.79465597595e-08
403.45884	4.35403345473e-07	8.78829230904e-08
410.9303	4.48515494227e-07	8.78193216549e-08
418.40176	4.66496079108e-07	8.77557554393e-08
425.87322	4.70677913429e-07	8.76922244302e-08
433.34468	4.87785930295e-07	8.7628728614e-08
440.81614	5.00512051453e-07	8.75652679773e-08
448.2876	5.14188800844e-07	8.75018425065e-08
455.75906	5.22242601687e-07	8.74384521882e-08
463.23052	5.21423492182e-07	8.73750970088e-08
470.70198	5.34918194384e-07	8.73117769548e-08
478.17344	5.4992239132e-07	8.72484920127e-08
485.6449	5.45310389923e-07	8.71852421691e-08
493.11636	5.47434156504e-07	8.71220274104e-08
500.58782	5.55187261212e-07	8.70588477232e-08
508.05928	5.64582529836e-07	8.6995703094e-08
515.53074	5.59209543536e-07	8.69325935093e-08
523.0022	5.67514791543e-07	8.68695189556e-08
530.47366	5.69869922702e-07	8.68064794194e-08
537.94512	5.7556355764e-07	8.67434748874e-08
545.41658	5.80357006242e-07	8.66805053459e-08
552.88804	5.7511094631e-07	8.66175707815e-08
560.3595	5.77052183052e-07	8.65546711809e-08
567.83096	5.74680199992e-07	8.64918065304e-08
575.30242	5.70533425811e-07	8.64289768167e-08
582.77388	5.72969929653e-07	8.63661820263e-08
590.24534	5.62645425676e-07	8.63034221457e-08
597.7168	5.66557181065e-07	8.62406971616e-08
605.18826	5.77093465005e-07	8.61780070603e-08
612.65972	5.58674584807e-07	8.61153518286e-08
620.13118	5.67793518946e-07	8.6052731453e-08
627.60264	5.7459809432e-07	8.59901459199e-08
635.0741	5.68766423711e-07	8.59275952161e-08
642.54556	5.63525209582e-07	8.5865079328e-08
650.01702	5.79108964884e-07	8.58025982423e-08
657.48848	5.65122612231e-07	8.57401519454e-08
664.95994	5.77558244532e-07	8.56777404241e-08
672.4314	5.67649329285e-07	8.56153636647e-08
679.90286	5.68213517077e-07	8.55530216541e-08
687.37432	5.79055478282e-07	8.54907143786e-08
694.84578	5.80323416789e-07	8.5428441825e-08
702.31724	5.76979827785e-07	8.53662039798e-08
709.7887	5.74995285532e-07	8.53040008296e-08
717.26016	5.61493498281e-07	8.52418323609e-08
724.73162	5.77189930823e-07	8.51796985605e-08
732.20308	5.63911689572e-07	8.51175994149e-08
739.67454	5.6577566009e-07	8.50555349106e-08
747.146	5.80235565876e-07	8.49935050344e-08
754.61746	5.63029823901e-07	8.49315097728e-08
762.08892	5.57230507431e-07	8.48695491125e-08
769.56038	5.52291450546e-07	8.48076230399e-08
777.03184	5.56441089198e-07	8.47457315419e-08
784.5033	5.57394971986e-07	8.4683874605e-08
791.97476	5.41774939635e-07	8.46220522157e-08
799.44622	5.50140696282e-07	8.45602643608e-08
806.91768	5.51072777299e-07	8.4498511027e-08
814.38914	5.45328477019e-07	8.44367922007e-08
821.8606	5.25664841646e-07	8.43751078686e-08
829.33206	5.38668469366e-07	8.43134580175e-08
836.80352	5.35531212726e-07	8.42518426339e-08
844.27498	5.31236688366e-07	8.41902617044e-08
851.74644	5.18278583941e-07	8.41287152158e-08
859.2179	5.27058214814e-07	8.40672031547e-08
866.68936	5.1997656134e-07	8.40057255077e-08
874.16082	5.31042386689e-07	8.39442822615e-08
881.63228	5.25967476248e-07	8.38828734028e-08
889.10374	5.31606012703e-07	8.38214989181e-08
896.5752	5.23915258091e-07	8.37601587943e-08
904.04666	5.19030709699e-07	8.36988530179e-08
911.51812	5.25404807858e-07	8.36375815756e-08
918.98958	5.19619873326e-07	8.35763444541e-08
926.46104	5.20884806647e-07	8.351514164e-08
933.9325	5.27800806366e-07	8.34539731202e-08
941.40396	5.14044979444e-07	8.33928388811e-08
948.87542	5.23404966528e-07	8.33317389096e-08
956.34688	5.11983088477e-07	8.32706731923e-08
963.81834	5.16817208994e-07	8.32096417159e-08
971.2898	5.14010674023e-07	8.31486444671e-08
978.76126	5.14834770042e-07	8.30876814325e-08
986.23272	5.16842220828e-07	8.3026752599e-08
993.70418	5.27592742323e-07	8.29658579532e-08
1001.17564	5.08188201341e-07	8.29049974817e-08
1008.6471	5.28692301806e-07	8.28441711714e-08
1016.11856	5.23688783778e-07	8.27833790089e-08
1023.59002	5.12114057856e-07	8.2722620981e-08
1031.06148	5.25340596322e-07	8.26618970742e-08
