Altitude(m)	Range Corrected Signal(m^-1 sr^-1)
1905.2223	10866511901.9
1912.69376	10055599191.3
1920.16522	10510389512.4
1927.63668	9262091182.16
1935.10814	8989522281.02
1942.5796	8779825904.28
1950.05106	8315115026.57
1957.52252	7769683234.81
1964.99398	7249926780.73
1972.46544	7499695114.06
1979.9369	7380211836.19
1987.40836	6653957828.06
1994.87982	6270311167.97
2002.35128	5944492556.86
2009.82274	5944503944.42
2017.2942	5349875435.8
2024.76566	5000108311.32
2032.23712	4429969369.36
2039.70858	4508367072.95
2047.18004	4147506959.68
2054.6515	3937205188.39
2062.12296	3919115608.04
2069.59442	3664873854.49
2077.06588	3743153233.46
2084.53734	3639771949.5
2092.0088	3412073216.24
2099.48026	3401226150.23
2106.95172	3523140642.4
2114.42318	3212862854.52
2121.89464	3132052667.37
2129.3661	3004519608.94
2136.83756	2934319452.0
2144.30902	2747962289.28
2151.78048	2882899194.73
2159.25194	2930928298.84
2166.7234	2946551941.49
2174.19486	2839275696.84
2181.66632	2482809381.62
2189.13778	2840099064.01
2196.60924	2859518488.24
2204.0807	2913009879.59
2211.55216	2967029313.06
2219.02362	3120060449.73
2226.49508	2843669508.56
2233.96654	2807889889.16
2241.438	2871919567.91
2248.90946	2966961514.97
2256.38092	2910339469.69
2263.85238	3180771503.55
2271.32384	3531971707.64
2278.7953	3222900468.56
2286.26676	3474057578.36
2293.73822	3365270063.23
2301.20968	2990061903.51
2308.68114	3052149478.21
2316.1526	3141675774.31
2323.62406	3188973485.87
2331.09552	3068230160.39
2338.56698	3416063553.1
2346.03844	3311336687.73
2353.5099	3421085730.7
2360.98136	3024773914.33
2368.45282	3167358857.12
2375.92428	3475269538.62
2383.39574	3633494752.24
2390.8672	3204727558.29
2398.33866	3633182412.99
2405.81012	3603763022.12
2413.28158	4266813478.83
2420.75304	3777590289.5
2428.2245	3924766492.03
2435.69596	3812505918.14
2443.16742	4062755946.23
2450.63888	4267811528.95
2458.11034	3762151472.52
2465.5818	4161960255.39
2473.05326	3728523043.11
2480.52472	3664943874.32
2487.99618	4070842848.91
2495.46764	4244785676.3
2502.9391	3931947581.85
2510.41056	3974363415.6
2517.88202	4093151492.45
2525.35348	4149366284.79
2532.82494	4603773614.07
2540.2964	3959851577.49
2547.76786	4255806161.71
2555.23932	3725817422.48
2562.71078	4279604092.75
2570.18224	4046966795.38
2577.6537	3950932496.3
2585.12516	3927089542.29
2592.59662	3949822285.22
2600.06808	3756289306.26
2607.53954	4464633700.6
2615.011	4544961909.41
2622.48246	4357770380.2
2629.95392	4735385890.57
2637.42538	4393661040.75
2644.89684	4684417777.2
2652.3683	4985288041.56
2659.83976	5812860202.32
2667.31122	5062962180.33
2674.78268	5427625571.62
2682.25414	5191793822.2
2689.7256	5669304424.1
2697.19706	5679019688.48
2704.66852	5388655779.26
2712.13998	5072750425.37
2719.61144	5566704003.06
2727.0829	5046995698.3
2734.55436	5149466227.98
2742.02582	5561097814.64
2749.49728	4601119489.89
2756.96874	4869387602.0
2764.4402	4628341172.03
2771.91166	4684127017.61
2779.38312	4091414765.46
2786.85458	3810545405.15
2794.32604	4689913054.53
2801.7975	4589425224.87
2809.26896	4266687143.37
2816.74042	4836860302.43
2824.21188	4511602469.56
2831.68334	4407210068.77
2839.1548	5091483394.33
2846.62626	4915733908.33
2854.09772	5128927247.11
2861.56918	4779140821.37
2869.04064	4623039078.13
2876.5121	5184979679.65
2883.98356	4895889894.86
2891.45502	5539967957.04
2898.92648	5669480569.32
2906.39794	5876132484.62
2913.8694	5388454067.23
2921.34086	5492930683.84
2928.81232	5649732569.53
2936.28378	6040708524.83
2943.75524	5629538714.82
2951.2267	5919443488.91
2958.69816	5205372235.58
2966.16962	5434052919.42
2973.64108	6522567931.66
2981.11254	6111034232.92
2988.584	6007729854.23
2996.05546	5642846725.76
3003.52692	5445496342.84
3010.99838	5672076508.37
3018.46984	5590926773.98
3025.9413	6003204355.61
3033.41276	5692427468.56
3040.88422	5785232354.95
3048.35568	6315489446.81
3055.82714	5365987318.98
3063.2986	5232734372.14
3070.77006	5946653933.94
3078.24152	6117760189.26
3085.71298	5042985642.34
3093.18444	5756317324.53
3100.6559	6293704757.23
3108.12736	5966635547.61
3115.59882	6073011421.56
3123.07028	6355766266.62
3130.54174	5739393762.9
3138.0132	6091777314.75
3145.48466	6150502533.28
3152.95612	6428284081.35
3160.42758	7137990548.82
3167.89904	5887225012.04
3175.3705	5844446844.22
3182.84196	5882112963.22
3190.31342	6001363827.12
3197.78488	6019280346.46
3205.25634	5687862296.74
3212.7278	5951807300.78
3220.19926	5979522314.76
3227.67072	5371812352.53
3235.14218	6652648029.28
3242.61364	5852762764.33
3250.0851	5900891200.5
3257.55656	6681481825.93
3265.02802	6168485166.52
3272.49948	5993272716.81
3279.97094	6063703336.71
3287.4424	5756334268.96
3294.91386	5369983778.76
3302.38532	6844829649.19
3309.85678	6306168866.32
3317.32824	6169601288.39
3324.7997	5987392013.49
3332.27116	6180892342.31
3339.74262	6041332209.69
3347.21408	6359692908.93
3354.68554	5116423678.89
3362.157	5760964846.86
3369.62846	5411902517.65
3377.09992	5983359278.16
3384.57138	5219446289.35
3392.04284	4621194087.18
3399.5143	5369646131.72
3406.98576	5625425948.42
3414.45722	6326319973.11
3421.92868	5183076977.22
3429.40014	5158692068.94
3436.8716	4767771492.0
3444.34306	4835977461.73
3451.81452	5345496559.17
3459.28598	5201129048.06
3466.75744	4995270654.87
3474.2289	4908192797.73
3481.70036	5038426140.43
3489.17182	4512229089.3
3496.64328	4140325645.45
3504.11474	3986134766.76
3511.5862	4570388262.71
3519.05766	4701311314.59
3526.52912	4584495128.24
3534.00058	4516517412.56
3541.47204	4472924804.17
3548.9435	3874662814.6
3556.41496	4333677415.24
3563.88642	4936164445.76
3571.35788	4535981142.16
3578.82934	4631828111.94
3586.3008	4676910980.82
3593.77226	4076488854.28
3601.24372	4210177138.46
3608.71518	3810934467.14
3616.18664	4323649690.75
3623.6581	4643545123.32
3631.12956	4596787994.46
3638.60102	4867273209.51
3646.07248	4289059529.75
3653.54394	4226565353.01
3661.0154	4619154539.55
3668.48686	3911306494.54
3675.95832	5021780955.79
3683.42978	5381406818.79
3690.90124	5158050689.67
3698.3727	4495056591.02
3705.84416	4650569590.51
3713.31562	4393566532.9
3720.78708	5186543031.89
3728.25854	4887695465.08
3735.73	4600280126.16
3743.20146	4828873005.33
3750.67292	4215129551.06
3758.14438	4514412605.95
3765.61584	4546560262.21
3773.0873	4379549625.68
3780.55876	3882377066.33
3788.03022	5361353234.29
3795.50168	4402926769.84
3802.97314	4434740793.28
3810.4446	6136443831.87
3817.91606	5111025131.15
3825.38752	4867644102.6
3832.85898	4519406706.95
3840.33044	4935243122.28
