Altitude(m)	Range Corrected Signal(m^-1 sr^-1)
0.0	0.0
7.47146	-2.23290858126
14.94292	784635.143822
22.41438	1629277.47286
29.88584	2682134.06128
37.3573	3977312.58766
44.82876	5733358.9794
52.30022	7650561.08218
59.77168	10485595.7915
67.24314	14351504.1042
74.7146	20296915.7128
82.18606	33036226.3277
89.65752	58342900.1993
97.12898	103066496.046
104.60044	166186239.71
112.0719	254819024.889
119.54336	382230505.643
127.01482	561742214.567
134.48628	790942610.392
141.95774	1079803807.02
149.4292	1420352255.38
156.90066	1807020644.5
164.37212	2246507700.12
171.84358	2728561245.79
179.31504	3281398993.83
186.7865	3885643316.99
194.25796	4545620252.36
201.72942	5180726042.67
209.20088	5874662829.13
216.67234	6610826256.96
224.1438	7347461828.83
231.61526	8152792270.52
239.08672	8985479075.58
246.55818	9733234351.32
254.02964	10541339336.0
261.5011	11310790100.8
268.97256	12170949422.9
276.44402	12945305990.6
283.91548	13792025538.7
291.38694	14537237114.0
298.8584	15413407098.4
306.32986	16236782467.1
313.80132	17031586649.4
321.27278	17829562115.8
328.74424	18706636577.8
336.2157	19632729742.6
343.68716	20504832289.8
351.15862	21430329649.7
358.63008	22353246097.8
366.10154	23212708806.1
373.573	24257615460.6
381.04446	25139471386.0
388.51592	25916128619.9
395.98738	26785595522.2
403.45884	27811117274.8
410.9303	28481222274.8
418.40176	29342505330.5
425.87322	30084772400.5
433.34468	30851431424.5
440.81614	31334492856.0
448.2876	32025460959.2
455.75906	32630356237.8
463.23052	33327445516.0
470.70198	33652571742.6
478.17344	34253565893.2
485.6449	34673384907.2
493.11636	35045478622.0
500.58782	35251480162.7
508.05928	35739870836.9
515.53074	35796015175.2
523.0022	36241518811.9
530.47366	36552741016.0
537.94512	36691685275.3
545.41658	36707439628.8
552.88804	36959466408.2
560.3595	36898766856.1
567.83096	36712094524.2
575.30242	36942186089.4
582.77388	36988588207.3
590.24534	37028570596.9
597.7168	36927649193.6
605.18826	36916073101.1
612.65972	36711656097.0
620.13118	36869931601.6
627.60264	36866445491.0
635.0741	36718962506.6
642.54556	36837432104.0
650.01702	36653777554.7
657.48848	36672533707.7
664.95994	36707309970.5
672.4314	36474694309.7
679.90286	36921780873.2
687.37432	36688321443.2
694.84578	36330517079.5
702.31724	36324846860.5
709.7887	36353180150.4
717.26016	36376053751.1
724.73162	36222349048.3
732.20308	36113112715.5
739.67454	35915567132.5
747.146	35597006273.4
754.61746	35639988589.1
762.08892	35600599907.6
769.56038	35168557541.1
777.03184	35097618913.0
784.5033	34822493127.5
791.97476	34991548565.4
799.44622	34963998184.6
806.91768	34759158095.7
814.38914	34637143057.1
821.8606	34427231019.0
829.33206	34222422400.7
836.80352	34417474673.3
844.27498	33807374158.9
851.74644	33890395370.2
859.2179	34080792740.6
866.68936	33851315986.6
874.16082	33985094043.5
881.63228	33582933174.2
889.10374	33768780640.7
896.5752	33735018640.9
904.04666	33563224033.7
911.51812	33637547751.2
918.98958	33364436471.3
926.46104	33537496048.0
933.9325	33224074786.2
941.40396	33159573367.8
948.87542	33258530566.3
956.34688	32922796393.8
963.81834	33130814532.4
971.2898	33006833658.9
978.76126	32991614631.9
986.23272	32922386789.1
993.70418	32828656622.0
1001.17564	32891160161.0
