Altitude(m)	beta_aerosol(m^-1 sr^-1)	beta_molecular(m^-1 sr^-1)
0.0	-8.05677043207e-06	8.05677043207e-06
7.47146	-8.05099274779e-06	8.05099274715e-06
14.94292	-8.04493343878e-06	8.04521823258e-06
22.41438	-8.03880008354e-06	8.03944688714e-06
29.88584	-8.03255758284e-06	8.03367870963e-06
37.3573	-8.02615615151e-06	8.02791369885e-06
44.82876	-8.01962588905e-06	8.02215185358e-06
52.30022	-8.01288733056e-06	8.01639317263e-06
59.77168	-8.00574476693e-06	8.01063765479e-06
67.24314	-7.99796837367e-06	8.00488529885e-06
74.7146	-7.98806946936e-06	7.99913610362e-06
82.18606	-7.97377401542e-06	7.99339006788e-06
89.65752	-7.9535327586e-06	7.98764719045e-06
97.12898	-7.92650173408e-06	7.9819074701e-06
104.60044	-7.89252536514e-06	7.97617090564e-06
112.0719	-7.84727211321e-06	7.97043749588e-06
119.54336	-7.7905498394e-06	7.96470723959e-06
127.01482	-7.72028982566e-06	7.95898013559e-06
134.48628	-7.63731935527e-06	7.95325618267e-06
141.95774	-7.54189277969e-06	7.94753537963e-06
149.4292	-7.4328393676e-06	7.94181772527e-06
156.90066	-7.31481279909e-06	7.93610321839e-06
164.37212	-7.18524190462e-06	7.93039185778e-06
171.84358	-7.04026035906e-06	7.92468364225e-06
179.31504	-6.88742600856e-06	7.9189785706e-06
186.7865	-6.73133282944e-06	7.91327664162e-06
194.25796	-6.56413219865e-06	7.90757785412e-06
201.72942	-6.38887208188e-06	7.9018822069e-06
209.20088	-6.21591825607e-06	7.89618969876e-06
216.67234	-6.02820515483e-06	7.89050032849e-06
224.1438	-5.84498907903e-06	7.8848140949e-06
231.61526	-5.66687839582e-06	7.8791309968e-06
239.08672	-5.47633476737e-06	7.87345103298e-06
246.55818	-5.29421855124e-06	7.86777420225e-06
254.02964	-5.09951949724e-06	7.8621005034e-06
261.5011	-4.89883350818e-06	7.85642993525e-06
268.97256	-4.70698324739e-06	7.85076249659e-06
276.44402	-4.512289124e-06	7.84509818622e-06
283.91548	-4.32746126415e-06	7.83943700296e-06
291.38694	-4.12336858952e-06	7.8337789456e-06
298.8584	-3.91305604759e-06	7.82812401294e-06
306.32986	-3.72560001056e-06	7.8224722038e-06
313.80132	-3.50060137239e-06	7.81682351698e-06
321.27278	-3.28629276245e-06	7.81117795127e-06
328.74424	-3.06742177844e-06	7.80553550549e-06
336.2157	-2.85598615914e-06	7.79989617845e-06
343.68716	-2.61643191066e-06	7.79425996894e-06
351.15862	-2.39238626612e-06	7.78862687577e-06
358.63008	-2.19517349145e-06	7.78299689774e-06
366.10154	-1.95996080482e-06	7.77737003368e-06
373.573	-1.71988793673e-06	7.77174628237e-06
381.04446	-1.4688426764e-06	7.76612564263e-06
388.51592	-1.2812571629e-06	7.76050811326e-06
395.98738	-1.07119073003e-06	7.75489369307e-06
403.45884	-8.47784084117e-07	7.74928238088e-06
410.9303	-6.30478678734e-07	7.74367417548e-06
418.40176	-4.69040180107e-07	7.73806907568e-06
425.87322	-2.80194136793e-07	7.7324670803e-06
433.34468	-1.15064505915e-07	7.72686818813e-06
440.81614	5.46852419392e-08	7.721272398e-06
448.2876	2.13836853826e-07	7.7156797087e-06
455.75906	3.44828837595e-07	7.71009011906e-06
463.23052	4.86815544644e-07	7.70450362787e-06
470.70198	5.69157986845e-07	7.69892023394e-06
478.17344	7.06006318355e-07	7.6933399361e-06
485.6449	7.89726427234e-07	7.68776273314e-06
493.11636	8.58127474843e-07	7.68218862388e-06
500.58782	9.57153547126e-07	7.67661760712e-06
508.05928	1.00219163833e-06	7.67104968169e-06
515.53074	1.05104299582e-06	7.66548484639e-06
523.0022	1.15464685601e-06	7.65992310003e-06
530.47366	1.13345169695e-06	7.65436444142e-06
537.94512	1.23440519135e-06	7.64880886938e-06
545.41658	1.22987171738e-06	7.64325638272e-06
