1.875	3.83097
5.625	4.04080
9.375	5.29939
13.125	3.07576
16.875	14.30747
20.625	14.91394
24.375	1.87265
28.125	4.17152
31.875	6.03954
35.625	5.22851
39.375	3.79934
43.125	5.47306
46.875	5.30603
50.625	5.70699
54.375	5.33689
58.125	9.70558
61.875	8.41344
65.625	5.33614
69.375	3.66209
73.125	4.98454
76.875	4.69480
80.625	4.83011
84.375	5.17238
88.125	4.49130
91.875	4.71801
95.625	4.86919
99.375	4.96363
103.125	4.97402
106.875	5.01720
110.625	4.92437
114.375	5.28636
118.125	5.59191
121.875	6.16528
125.625	6.37549
129.375	6.83029
133.125	7.37657
136.875	8.24373
140.625	8.82962
144.375	9.65518
148.125	10.35021
151.875	11.04819
155.625	12.15607
159.375	12.84828
163.125	13.48038
166.875	14.22319
170.625	14.88983
174.375	15.78839
178.125	16.57228
181.875	17.37466
185.625	18.07089
189.375	18.80391
193.125	19.54947
196.875	20.52357
200.625	21.24147
204.375	21.98663
208.125	22.61410
211.875	23.31945
215.625	24.09547
219.375	24.80844
223.125	25.46295
226.875	26.03893
230.625	26.51660
234.375	27.13836
238.125	27.65395
241.875	28.15772
245.625	28.63840
249.375	29.06393
253.125	29.57432
256.875	30.05586
260.625	30.48287
264.375	30.91722
268.125	31.26229
271.875	31.63749
275.625	32.03504
279.375	32.32470
283.125	32.63213
286.875	32.84888
290.625	33.05547
294.375	33.31279
298.125	33.49628
301.875	33.62346
305.625	33.79786
309.375	33.83928
313.125	33.98038
316.875	34.04747
320.625	34.10655
324.375	34.11478
328.125	34.11723
331.875	34.12375
335.625	34.14989
339.375	34.04288
343.125	33.96851
346.875	33.83690
350.625	33.75638
354.375	33.68679
358.125	33.55212
361.875	33.41306
365.625	33.26378
369.375	33.08891
373.125	32.99233
376.875	32.84520
380.625	32.66246
384.375	32.47860
388.125	32.25166
391.875	32.07926
395.625	31.89476
399.375	31.70540
403.125	31.51486
406.875	31.27559
410.625	31.04986
414.375	30.86907
418.125	30.64273
421.875	30.45595
425.625	30.22570
429.375	30.00715
433.125	29.80197
436.875	29.58592
440.625	29.37662
444.375	29.19377
448.125	28.95321
451.875	28.75269
455.625	28.51047
459.375	28.29408
463.125	28.09394
466.875	27.87308
470.625	27.66192
474.375	27.46589
478.125	27.22789
481.875	27.03625
485.625	26.82378
489.375	26.61655
493.125	26.42806
496.875	26.21152
500.625	26.00900
504.375	25.81346
508.125	25.60929
511.875	25.41971
515.625	25.20690
519.375	24.98448
523.125	24.77722
526.875	24.55615
530.625	24.38434
534.375	24.19719
538.125	23.98468
541.875	23.77599
545.625	23.57463
549.375	23.37849
553.125	23.21157
556.875	23.01370
560.625	22.84098
564.375	22.64648
568.125	22.45992
571.875	22.29091
575.625	22.11069
579.375	21.91891
583.125	21.78223
586.875	21.59341
590.625	21.40311
594.375	21.24974
598.125	21.07933
601.875	20.92050
605.625	20.74948
609.375	20.60259
613.125	20.45376
616.875	20.28720
620.625	20.15020
624.375	20.00697
628.125	19.84852
631.875	19.72578
635.625	19.56827
639.375	19.43283
643.125	19.30076
646.875	19.16081
650.625	19.03377
654.375	18.88869
658.125	18.74825
661.875	18.63707
665.625	18.50433
669.375	18.37640
673.125	18.24456
676.875	18.11302
680.625	17.99590
684.375	17.87875
688.125	17.76065
691.875	17.64932
695.625	17.52051
699.375	17.42158
703.125	17.30152
706.875	17.16843
710.625	17.06772
714.375	16.95418
718.125	16.83343
721.875	16.71852
725.625	16.60005
729.375	16.49827
733.125	16.39041
736.875	16.27661
740.625	16.17382
744.375	16.06185
748.125	15.96018
751.875	15.86066
755.625	15.75901
759.375	15.66456
763.125	15.56411
766.875	15.45890
770.625	15.36359
774.375	15.25716
778.125	15.16678
781.875	15.07369
785.625	14.96293
789.375	14.86657
793.125	14.77758
796.875	14.67904
800.625	14.59259
804.375	14.50030
808.125	14.41169
811.875	14.31906
815.625	14.22290
819.375	14.13990
823.125	14.04811
826.875	13.95504
830.625	13.87265
834.375	13.77541
838.125	13.68638
841.875	13.60561
845.625	13.52275
849.375	13.44105
853.125	13.35402
856.875	13.27248
860.625	13.20431
864.375	13.13656
868.125	13.02961
871.875	12.95397
875.625	12.89655
879.375	12.80435
883.125	12.73201
886.875	12.65807
890.625	12.58823
894.375	12.50507
898.125	12.43815
901.875	12.36521
905.625	12.29438
909.375	12.22686
913.125	12.16301
916.875	12.08747
920.625	12.02064
924.375	11.95137
928.125	11.89026
931.875	11.82168
935.625	11.74864
939.375	11.68795
943.125	11.61875
946.875	11.55376
950.625	11.49090
954.375	11.43181
958.125	11.37448
961.875	11.31482
965.625	11.25006
969.375	11.19029
973.125	11.13071
976.875	11.07873
980.625	11.02644
984.375	10.96947
988.125	10.91689
991.875	10.86182
995.625	10.80468
999.375	10.75649
1003.125	10.70329
1006.875	10.64701
1010.625	10.59811
1014.375	10.54712
1018.125	10.49917
1021.875	10.44927
1025.625	10.40026
1029.375	10.35457
1033.125	10.30980
1036.875	10.26614
1040.625	10.21928
1044.375	10.16919
1048.125	10.13403
1051.875	10.08760
1055.625	10.04335
1059.375	10.00391
1063.125	9.95560
1066.875	9.91285
1070.625	9.87340
1074.375	9.83389
1078.125	9.79567
1081.875	9.75299
1085.625	9.71457
1089.375	9.67107
1093.125	9.62639
1096.875	9.59768
1100.625	9.56174
1104.375	9.51624
1108.125	9.47896
1111.875	9.44489
1115.625	9.40850
1119.375	9.37185
1123.125	9.33346
1126.875	9.29690
1130.625	9.25669
1134.375	9.22221
1138.125	9.19182
1141.875	9.15455
1145.625	9.11294
